Öğrenci No;Cinsiyet;Doğum Yılı;Okul Türü;Sınıf Düzeyi;Baba Mesleği;Baba Eğitim Düzeyi;Anne Mesleği;Anne Eğitim Düzeyi;Kardeş Sayısı;Kitap Sayısı;Evde Bilgisayar;Evde İnternet;Evde Çalışma Odası;Sınıf 9 Notu;Sınıf 10 Notu;Sınıf 11 Notu;Not Ortalaması aps;Ders Dinleme Önemi;Ders Çalışma Önemi;Ödev Yapma Önemi;Okul Kursu Önemi;Özel Ders Sıklığı;Drsn Fizik Sıklığı;Drsn ÖSS Sıklığı;En sevilen konu;lsi11;lsi12;lsi13;lsi14;lsi21;lsi22;lsi23;lsi24;lsi31;lsi32;lsi33;lsi34;lsi41;lsi42;lsi43;lsi44;lsi51;lsi52;lsi53;lsi54;lsi61;lsi62;lsi63;lsi64;lsi71;lsi72;lsi73;lsi74;lsi81;lsi82;lsi83;lsi84;lsi91;lsi92;lsi93;lsi94;lsi101;lsi102;lsi103;lsi104;lsi111;lsi112;lsi113;lsi114;lsi121;lsi122;lsi123;lsi124;pas1;pas2;pas3;pas4;pas5;pas6;pas7;pas8;pas9;pas10;pas11;pas12;pas13;pas14;pas15;pas16;pas17;pas18;pas19;pas20;pas21;pas22;pas23;pas24;pas25;pas26;pas27;pas28;pas29;pas30;pas31;pas32;pas33;pas34;pas35;pas36;pas37;pas38;pas39;pas40;a1;a2;a3;a4;a5;a6;b1;b2;b3;b4;b5;b6;b7;b8;b9;b10;b11;b12;b13;b14;b15;b16;b17;b18;b19;b20;b21;b22;b23;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;CE;RO;AC;AE;CE-AC;RO-AE;lst;pass
3-18;2;92;5;9;5;5;14;4;2;4;1;1;1;4;;;4;1;1;2;2;1;1;1;7;1;3;4;2;1;4;2;3;2;1;4;3;1;4;3;2;4;1;2;3;2;4;3;1;1;2;4;3;2;1;4;3;1;2;4;3;2;1;3;4;4;3;1;2;4;3;2;1;4;3;3;2;3;2;3;5;3;3;5;3;2;2;4;4;5;4;5;4;4;4;2;2;3;4;5;2;2;1;5;3;3;2;2;3;3;1;3;3;2;2;1;2;4;3;1;1;3;3;3;4;4;3;3;2;3;3;2;3;4;4;4;4;4;1;4;4;4;1;2;2;2;3;2;4;4;2;2;4;4;25;29;36;30;-11;-1;3;18
3-19;2;92;5;9;4;2;14;2;1;2;1;1;0;4;;;4;1;1;1;3;1;1;1;12;2;3;1;4;2;3;1;4;2;1;3;4;1;3;2;4;3;1;2;4;1;4;2;3;1;3;2;4;3;2;1;4;1;3;2;4;2;1;3;4;1;3;2;4;4;1;3;2;1;1;2;5;5;1;1;5;5;1;1;5;5;1;1;5;5;5;5;1;2;1;5;5;5;5;5;2;1;1;5;5;1;2;3;5;1;1;5;1;1;1;2;2;3;1;1;1;2;3;3;4;3;3;3;2;3;3;3;3;3;3;3;1;2;1;2;3;2;2;2;3;4;2;1;2;2;2;1;2;1;23;28;24;45;-1;-17;3;78
3-2;2;92;5;9;4;3;14;3;2;;1;0;1;5;;;5;1;2;1;3;1;1;1;8;1;4;3;2;1;4;2;3;1;2;4;3;1;4;2;3;1;4;2;3;2;4;3;1;1;2;3;4;1;2;4;3;1;2;4;3;2;1;4;3;3;1;2;4;4;3;1;2;3;4;3;4;4;1;2;5;3;3;4;4;5;1;2;4;5;3;5;2;2;4;4;4;5;4;4;3;2;1;5;4;3;4;5;4;3;2;4;1;2;3;3;3;4;1;1;1;2;4;4;4;4;3;3;3;4;4;4;3;4;4;4;3;4;1;4;4;4;2;3;4;3;4;1;4;4;3;1;3;3;19;33;34;34;-15;-1;3;39
3-20;2;92;5;9;13;4;18;5;0;4;1;1;1;4;;;4;1;2;2;3;1;1;1;0;1;3;2;4;1;4;2;3;3;4;1;2;4;1;2;3;1;2;3;4;3;1;2;4;4;2;1;3;4;1;2;3;3;1;2;4;4;1;3;2;3;2;1;4;4;3;2;1;2;2;4;5;5;1;1;4;5;2;3;4;5;1;1;3;5;5;5;1;1;2;5;4;5;5;5;1;1;2;4;5;2;1;5;5;1;1;5;1;1;1;3;2;4;1;1;2;1;2;4;4;4;1;4;3;4;4;4;4;4;4;4;3;4;1;4;4;3;2;4;3;4;4;2;4;3;2;2;4;2;35;25;23;37;12;-12;2;65
3-21;1;92;5;9;12;4;14;2;1;4;1;0;1;4;;;4;1;2;2;1;1;1;1;8;1;2;4;3;1;2;3;4;2;1;4;3;1;2;3;4;3;4;1;2;1;2;3;4;4;3;2;1;2;1;4;3;4;3;2;1;3;2;4;1;4;2;3;1;3;1;4;2;1;1;1;4;5;1;1;4;4;2;1;4;5;1;1;4;5;4;5;5;5;2;5;5;5;5;4;1;1;1;5;5;3;1;5;5;1;1;1;1;1;1;4;1;3;1;1;1;3;4;3;4;4;3;4;3;4;4;4;3;4;4;4;3;4;1;4;3;4;2;4;4;4;2;1;4;4;2;2;4;2;29;25;37;29;-8;-4;3;67
3-22;2;92;5;9;12;3;14;2;2;4;0;0;1;5;;;5;1;1;1;;1;1;1;8;1;3;2;4;1;2;3;4;2;1;4;3;1;2;3;4;2;3;4;1;1;4;3;2;1;3;2;4;2;1;3;4;1;2;3;4;2;1;3;4;3;1;2;4;1;2;3;4;2;4;4;2;4;2;2;4;3;4;4;2;3;4;3;2;2;2;4;3;2;3;3;2;4;4;4;2;2;4;2;;2;2;2;2;;1;4;1;2;2;4;4;4;1;1;1;3;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;1;4;4;4;1;4;4;4;3;1;4;4;1;1;4;2;18;25;35;42;-17;-17;3;8
3-23;2;92;5;9;12;3;14;2;4;;0;0;1;3;;;3;2;2;1;3;1;1;1;12;1;3;4;2;2;4;3;1;2;1;4;3;1;3;2;4;3;2;1;4;2;4;3;1;1;3;2;4;3;4;1;2;1;4;2;3;4;1;3;2;1;4;2;3;3;4;2;1;3;2;2;2;4;1;5;1;1;3;4;2;2;5;4;2;4;1;2;2;2;4;3;3;3;4;2;2;2;3;2;1;3;4;2;3;5;1;5;3;3;2;4;3;4;1;1;1;3;4;3;4;4;3;4;3;3;4;2;1;4;4;4;1;4;1;4;3;4;3;4;4;4;3;2;4;3;1;1;4;4;24;37;29;30;-5;7;4;-7
3-24;2;92;5;9;20;2;14;2;2;3;1;0;1;5;;;5;1;1;1;2;1;1;1;8;1;3;2;4;1;4;3;2;2;1;4;3;1;3;2;4;1;2;4;3;1;3;2;4;2;3;1;4;3;2;1;4;1;3;2;4;4;1;2;3;4;1;2;3;3;2;1;4;4;5;3;1;1;5;5;4;1;5;5;1;5;5;5;1;1;1;1;5;3;1;1;3;1;1;4;3;4;5;1;1;5;5;5;1;5;5;1;5;1;1;3;2;2;1;1;1;4;4;2;4;4;2;3;3;4;3;4;4;4;4;4;3;4;1;3;4;3;4;4;3;3;3;2;4;4;1;1;4;2;24;28;26;42;-2;-14;3;-46
3-25;2;91;5;9;1;5;14;2;2;4;1;0;1;4;;;4;1;2;2;3;1;1;1;12;1;4;3;2;1;4;3;2;2;4;3;1;1;2;4;3;3;4;1;2;2;1;3;4;1;4;3;2;2;3;1;4;1;2;3;4;3;2;4;1;1;4;3;2;3;4;2;1;4;4;4;2;3;2;4;4;5;4;4;3;2;4;5;2;2;2;4;4;2;5;2;2;2;2;5;4;4;2;3;2;4;5;5;5;4;2;2;4;1;3;3;3;2;1;1;1;4;4;4;4;4;3;4;3;4;3;4;4;4;4;4;4;4;1;4;4;4;3;4;3;4;3;4;4;3;3;3;4;4;21;38;33;28;-12;10;4;-12
3-26;;92;5;9;;;;;2;4;1;0;1;;;;;1;1;2;2;1;1;1;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;2;5;1;1;3;2;4;2;2;2;1;3;2;4;5;5;1;5;4;5;1;5;5;5;1;1;3;1;1;4;1;4;4;4;1;5;1;2;2;2;;4;1;1;1;3;4;4;4;4;2;4;3;4;4;4;;;;;;;;;;;2;3;3;4;1;2;3;2;1;1;1;2;0;0;0;0;0;0;1;35
3-27;2;92;5;9;11;5;14;2;3;4;1;0;1;;;;;1;1;1;1;1;1;1;8;3;2;4;1;1;3;2;4;1;4;3;2;2;3;4;1;4;3;2;1;1;4;3;2;4;1;3;2;2;4;3;1;2;1;4;3;3;4;1;2;1;2;4;3;4;2;3;1;4;2;2;4;4;2;2;2;5;2;3;4;3;2;3;2;5;3;4;4;4;4;3;3;3;3;2;4;3;3;2;3;2;2;2;2;4;3;2;4;2;3;4;4;4;1;2;1;3;4;3;4;4;3;3;3;2;4;4;1;1;3;4;4;4;1;4;4;2;2;3;2;4;2;2;4;3;2;2;4;3;28;33;36;23;-8;10;4;10
3-28;2;92;5;9;13;4;14;2;1;3;1;0;0;5;;;5;1;2;1;3;1;1;1;14;2;4;3;1;2;4;3;1;2;3;4;1;1;4;3;2;2;1;4;3;1;2;4;3;1;2;4;3;4;1;3;2;1;3;2;4;3;2;4;1;2;3;1;4;3;4;1;2;2;1;2;2;4;2;2;1;5;2;2;1;1;3;2;3;3;4;4;3;2;3;3;2;4;4;5;3;2;3;2;2;3;2;2;2;4;3;4;2;1;3;4;2;4;1;1;1;2;3;4;4;4;3;4;3;3;3;4;3;3;3;3;2;4;1;4;3;;;;;;;;;;;;;;24;33;36;27;-12;6;4;14
3-29;2;92;5;9;10;4;14;2;3;4;0;0;1;3;;;3;1;1;2;3;1;1;3;12;1;3;4;2;3;4;2;1;2;3;4;1;1;4;3;2;2;4;1;3;1;2;3;4;1;4;3;2;1;2;4;3;1;4;2;3;4;3;2;1;1;4;3;2;1;4;3;2;3;4;1;3;3;2;2;5;2;3;4;2;2;1;3;2;4;5;4;2;5;3;3;4;4;3;3;5;2;1;4;3;4;2;1;2;;2;2;3;1;1;3;2;4;1;1;1;1;4;3;4;4;2;3;2;4;4;4;4;4;4;1;4;4;1;4;4;4;4;2;3;4;2;1;4;4;4;1;4;4;19;41;34;26;-15;15;4;19
3-3;2;92;5;9;27;5;14;2;2;3;1;1;1;4;;;4;1;2;1;3;1;1;1;8;1;3;4;2;1;4;2;3;1;4;3;2;1;3;4;2;3;4;2;1;4;3;2;1;1;3;2;4;4;3;2;1;1;3;2;4;1;3;2;4;1;3;4;2;1;4;2;3;3;4;4;2;4;2;2;4;3;4;4;2;2;4;2;2;3;4;5;4;4;4;2;2;4;4;4;3;2;2;2;2;4;3;2;2;3;2;4;4;1;1;4;3;4;1;1;1;2;4;4;4;3;2;4;2;2;4;4;2;3;4;4;4;4;1;4;4;3;3;3;4;4;4;3;4;4;2;2;3;4;20;40;31;29;-11;11;4;3
3-30;2;92;5;9;4;3;14;2;2;4;1;1;1;5;;;5;2;3;2;2;1;1;1;12;4;3;2;1;1;2;3;4;2;3;1;4;3;2;4;1;3;2;1;4;3;2;4;1;4;2;3;1;1;2;3;4;2;1;3;4;2;1;3;4;2;4;3;1;1;2;3;4;1;1;3;5;5;1;1;2;5;4;1;5;5;3;1;4;1;5;4;3;4;4;3;4;4;4;;3;2;5;2;5;2;1;4;4;1;3;5;1;1;2;3;2;3;1;1;1;1;4;4;4;4;3;4;3;3;4;4;4;4;4;4;3;4;1;4;4;4;4;4;4;4;4;2;4;4;1;1;4;4;28;26;33;33;-5;-7;3;39
3-31;2;92;5;9;11;4;14;4;1;4;1;1;1;5;;;5;1;1;1;2;1;1;1;8;1;3;4;2;1;4;2;3;1;2;4;3;1;3;4;2;2;4;3;1;2;4;3;1;1;2;3;4;3;1;2;4;1;3;2;4;1;2;4;3;3;1;2;4;2;4;3;1;5;4;4;2;3;4;3;2;1;4;5;1;1;3;5;1;1;1;4;3;3;5;2;2;2;2;4;3;1;3;4;1;2;5;1;1;5;4;5;5;1;1;3;3;4;1;1;1;1;3;4;4;4;2;3;2;4;4;4;2;4;4;1;4;4;1;4;4;1;1;2;3;3;3;1;4;4;1;1;3;3;19;33;36;32;-17;1;4;-29
3-32;2;92;5;9;11;5;14;2;2;4;0;0;1;;;;;1;1;1;2;1;1;1;8;2;1;3;4;1;4;3;2;2;1;4;3;1;4;3;2;2;3;4;1;1;4;2;3;1;3;2;4;2;1;3;4;1;4;2;3;2;1;3;4;4;2;1;3;4;3;2;1;3;3;2;1;4;1;3;3;1;2;5;2;1;2;1;1;3;5;5;1;5;3;4;1;4;4;4;1;1;3;4;4;2;2;1;1;2;1;3;3;1;2;3;3;4;1;1;1;1;3;4;4;4;3;3;2;3;4;3;3;4;4;4;3;4;1;4;4;4;3;4;3;3;4;3;4;4;3;3;4;4;23;31;32;34;-9;-3;3;20
3-33;1;91;5;9;13;0;14;2;3;2;0;0;1;3;;;3;1;1;1;2;1;1;1;9;1;4;2;3;3;4;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;2;4;4;1;2;3;2;3;2;4;4;5;4;4;2;3;4;4;4;5;4;5;5;5;5;5;2;5;5;2;2;3;4;4;4;1;4;2;1;2;3;1;3;1;1;1;3;3;3;4;3;2;3;3;4;4;3;2;2;3;3;3;4;1;4;4;3;2;3;2;2;3;1;3;4;2;1;2;2;4;8;4;4;0;4;1;24
3-34;2;92;5;9;16;4;14;3;2;2;0;0;1;4;;;4;1;2;1;3;1;1;1;2;1;4;3;2;1;4;2;3;2;1;4;3;1;2;3;4;2;4;1;3;1;4;3;2;1;3;2;4;2;1;3;4;1;3;2;4;4;1;3;2;3;2;1;4;3;4;2;1;3;3;1;1;4;2;2;1;1;3;4;1;1;4;5;2;1;5;5;1;5;1;5;1;5;3;5;3;2;5;1;5;3;3;2;2;4;2;3;3;1;1;4;2;3;1;1;1;2;4;4;4;4;2;4;3;4;4;4;1;4;4;4;2;4;1;4;4;4;3;3;4;4;1;2;4;4;4;3;4;4;22;33;29;36;-7;-3;3;5
3-35;2;92;5;9;12;3;12;2;1;2;0;0;1;5;;;5;1;1;1;2;1;1;1;8;4;1;2;3;2;1;3;4;1;3;2;4;1;2;3;4;2;1;3;4;1;4;3;2;1;4;2;3;2;1;3;4;1;3;2;4;3;1;2;4;1;3;4;2;3;4;2;1;2;2;1;2;5;1;1;5;4;3;2;2;3;2;1;4;4;5;5;2;3;3;4;2;4;5;3;3;2;2;3;4;2;2;4;4;2;2;4;1;1;1;3;1;3;1;1;1;1;3;1;4;4;2;3;3;3;4;3;3;4;3;4;4;4;1;4;4;3;3;1;2;3;3;1;4;3;1;1;4;3;22;28;31;39;-9;-11;3;43
3-36;2;92;5;9;11;5;14;4;2;4;1;0;1;5;;;5;1;1;1;1;1;1;1;0;1;3;4;2;1;4;3;2;2;1;4;3;1;2;4;3;1;2;4;3;1;3;4;2;1;3;4;2;1;3;4;2;1;4;2;3;3;1;4;2;3;2;4;1;1;4;3;2;1;1;1;5;5;1;1;3;5;1;5;5;5;2;1;5;5;5;5;2;3;2;5;5;5;5;5;3;1;2;5;5;2;2;5;5;2;1;5;1;1;3;3;2;2;1;1;1;1;1;1;4;4;3;3;2;3;3;2;2;3;4;3;4;4;1;4;4;4;2;2;4;4;1;2;4;1;1;1;2;2;17;32;44;27;-27;5;4;69
3-37;2;91;5;9;11;2;14;2;3;1;0;0;1;5;;;5;1;1;1;1;1;1;1;6;1;3;4;2;1;3;4;2;2;1;3;4;1;2;4;3;1;2;4;3;2;3;4;1;1;2;4;3;4;2;3;1;1;2;4;3;1;2;4;3;4;3;2;1;1;3;4;2;1;3;3;4;5;1;1;4;5;1;2;4;4;1;1;5;3;5;5;2;2;2;4;4;4;4;4;2;2;3;4;4;2;2;4;4;2;2;4;1;1;1;3;3;4;1;1;1;1;3;1;4;4;1;3;2;3;4;4;3;4;4;4;4;4;1;4;4;4;1;1;4;4;1;1;4;3;1;1;3;1;20;28;44;28;-24;0;4;52
3-38;2;92;5;9;1;5;14;4;1;4;0;0;1;5;;;5;1;1;2;1;1;1;1;8;2;4;3;1;1;4;3;2;3;1;4;2;1;3;2;4;1;4;3;2;4;3;2;1;3;4;2;1;4;1;2;3;1;4;2;3;3;1;2;4;4;1;2;3;4;1;3;2;1;2;3;5;5;1;1;1;5;1;1;4;5;3;1;4;3;4;4;2;4;3;4;4;4;5;4;2;1;5;1;4;2;2;5;4;1;1;5;1;2;1;3;2;3;1;1;1;3;3;4;4;4;2;4;2;3;4;4;1;2;4;4;2;4;1;4;4;2;1;2;3;3;1;2;3;3;2;1;3;1;31;31;30;28;1;3;1;50
3-39;2;92;5;9;18;4;14;3;1;4;1;0;1;4;;;4;1;1;2;2;1;3;3;12;4;3;2;1;2;4;1;3;3;1;4;2;2;3;1;4;2;3;4;1;1;3;2;4;1;3;2;4;3;1;2;4;2;4;1;3;4;1;2;3;4;2;1;3;2;4;1;3;2;2;3;5;5;1;1;3;1;1;1;3;5;3;1;5;3;5;5;5;5;2;5;5;5;5;5;2;1;3;3;5;2;1;5;5;1;1;5;1;1;2;3;;2;;1;2;3;4;4;4;4;1;4;2;4;4;4;1;4;4;3;4;4;1;4;4;4;1;3;4;4;1;1;4;1;1;1;4;4;30;32;23;35;7;-3;2;59
3-4;2;92;5;9;20;2;20;2;2;3;1;1;1;4;;;4;2;1;1;1;1;1;1;18;1;3;2;4;1;4;3;2;1;2;4;3;1;3;2;4;2;1;4;3;1;4;2;3;2;3;1;4;2;1;3;4;1;3;2;4;2;1;3;4;3;2;1;4;2;1;3;4;2;2;2;3;3;1;2;5;2;2;2;2;2;1;2;3;4;3;4;2;4;3;4;2;4;4;4;3;2;1;5;4;3;2;3;3;3;2;4;2;1;3;2;1;3;1;1;1;2;2;3;4;4;3;2;2;3;2;4;2;4;4;4;3;4;1;4;4;3;3;3;3;3;4;2;3;4;3;2;3;4;19;28;30;43;-11;-15;3;33
3-40;2;92;5;9;13;2;14;2;2;4;0;0;1;;;;;1;1;1;2;1;1;1;12;3;4;1;2;3;2;1;4;3;1;4;2;1;2;3;4;1;2;4;3;1;2;3;4;4;1;2;3;3;2;1;4;1;3;2;4;2;1;3;4;3;1;2;4;3;4;2;1;3;5;5;4;4;2;3;4;1;2;2;3;4;1;1;4;3;5;3;2;5;2;5;5;5;5;3;2;2;1;5;4;2;2;4;5;4;1;4;1;1;1;3;1;4;1;1;1;3;4;1;4;4;1;3;3;4;3;4;1;4;2;1;4;4;1;4;3;4;2;3;3;4;1;2;4;4;1;1;3;4;28;25;28;39;0;-14;2;42
3-41;2;92;5;9;10;5;14;4;1;4;1;1;1;5;;;5;1;1;1;2;1;1;1;6;2;4;3;1;1;4;3;2;1;4;3;2;1;4;3;2;3;1;2;4;1;4;2;3;1;4;3;2;1;4;2;3;1;4;2;3;4;3;2;1;3;4;2;1;1;4;3;2;2;3;3;4;3;1;2;1;5;3;4;3;1;5;1;3;1;5;3;2;1;5;4;3;5;5;5;4;1;5;1;2;4;4;4;5;4;3;5;1;1;2;4;2;3;1;1;1;1;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;1;4;4;3;4;4;4;4;4;2;4;4;1;1;4;1;20;44;30;26;-10;18;4;12
3-42;2;92;5;9;21;5;14;3;3;4;1;1;1;4;;;4;1;2;1;2;1;1;1;12;4;1;2;3;2;4;1;3;2;4;3;1;1;3;2;4;2;3;4;1;1;4;2;3;1;3;2;4;3;2;1;4;1;4;2;3;3;4;2;1;3;4;2;1;2;4;3;1;3;4;3;2;5;3;2;2;3;3;4;3;4;2;1;4;4;4;4;2;4;2;4;4;5;5;5;2;2;2;2;2;2;1;4;4;4;2;4;2;1;1;3;3;4;1;1;1;3;4;2;4;4;2;3;3;3;4;3;3;2;4;3;3;4;2;3;4;3;3;3;3;3;4;2;4;4;3;2;3;4;25;40;26;29;-1;11;4;32
3-43;2;;5;9;13;2;14;0;3;2;0;0;1;5;;;5;1;1;1;1;1;1;1;6;1;3;4;2;1;3;4;2;2;1;3;4;1;2;4;3;2;4;3;1;4;3;2;1;1;3;2;4;1;3;4;2;1;2;3;4;3;1;2;4;3;1;2;4;4;1;3;2;3;3;2;3;3;3;4;4;4;3;3;2;2;1;3;2;2;2;4;3;4;4;3;2;3;3;4;1;1;2;4;2;3;3;2;4;4;3;3;3;2;3;3;2;3;1;2;1;2;4;4;4;4;3;3;2;4;3;4;3;4;4;2;1;4;2;4;4;4;3;3;2;2;2;2;3;4;2;2;2;3;24;27;36;33;-12;-6;3;10
3-5;2;92;5;9;11;5;14;4;2;4;1;1;1;3;;;3;2;2;1;2;1;1;1;7;1;4;3;2;2;4;1;3;2;3;4;1;1;2;3;4;2;1;3;4;2;4;3;1;2;3;1;4;3;2;4;1;1;2;3;4;2;4;1;3;3;2;1;4;1;4;3;2;5;3;4;2;3;4;3;4;5;4;3;2;2;3;5;2;2;3;4;4;4;5;2;1;2;2;4;3;4;4;2;2;4;4;2;1;5;4;3;5;1;2;3;4;4;1;1;1;3;4;3;4;4;1;3;3;4;3;4;1;4;4;4;4;4;1;4;4;4;3;4;3;3;4;3;4;4;3;3;4;4;22;35;30;33;-8;2;4;-22
3-6;2;92;5;9;16;4;16;5;1;4;1;1;1;4;;;4;2;1;2;2;1;1;1;7;2;3;4;1;1;4;2;3;1;2;4;3;1;3;2;4;4;1;2;3;2;3;1;4;1;3;4;2;;;;;;;;;;;;;;;;;;;;;3;4;3;2;2;2;3;4;2;3;4;2;3;2;3;2;2;2;2;3;2;4;2;3;3;2;3;4;3;3;2;2;3;3;2;2;4;4;2;4;2;2;3;4;4;2;2;1;3;3;2;4;3;3;3;3;3;3;4;4;3;3;3;3;3;1;1;4;3;3;3;3;3;3;3;3;3;3;1;3;3;12;19;19;20;-7;-1;3;-14
3-7;1;92;5;9;4;3;1;5;1;3;1;1;1;3;;;3;1;2;1;3;1;1;1;-1;3;4;1;2;2;4;1;3;3;1;2;4;1;3;2;4;2;1;3;4;2;4;3;1;2;3;1;4;4;2;3;1;1;2;3;4;4;1;3;2;3;1;2;4;4;3;1;2;3;4;3;4;4;2;3;5;3;3;3;3;4;1;2;4;3;5;5;2;5;3;4;4;5;5;5;1;1;1;4;3;3;3;4;3;3;2;4;3;1;1;2;2;2;1;1;1;1;3;2;3;4;3;2;1;4;2;4;4;4;4;4;1;4;1;4;2;2;3;3;3;3;3;2;3;3;2;1;4;2;31;29;25;35;6;-6;2;40
3-8;2;92;5;9;13;3;14;2;2;3;0;0;1;5;;;5;1;1;1;3;1;1;2;3;1;2;3;4;1;3;2;4;2;3;4;1;1;3;2;4;;;;;1;4;3;2;1;2;3;4;2;1;3;4;1;2;3;4;3;2;4;1;4;1;3;2;2;4;3;1;2;3;3;2;4;1;3;4;4;2;3;1;1;3;2;4;4;3;4;3;5;5;3;5;3;4;5;1;;2;3;2;4;4;5;3;4;3;3;4;3;2;2;4;4;1;1;1;1;3;1;4;3;2;1;1;4;1;4;1;4;4;4;2;3;1;4;4;4;4;1;2;2;1;1;3;4;3;1;2;4;19;27;33;31;-14;-4;3;20
3-9;2;92;5;9;13;2;14;0;2;4;1;0;0;5;;;5;1;1;1;1;1;1;1;8;4;2;1;3;1;3;4;2;2;1;4;3;1;3;4;2;4;2;3;1;2;3;4;1;1;2;4;3;3;1;4;2;1;3;2;4;2;1;4;3;3;2;1;4;3;2;4;1;2;1;1;4;5;1;1;5;5;1;1;5;5;1;2;5;5;5;5;1;4;2;5;5;5;5;5;2;2;1;5;5;1;2;5;5;2;1;5;3;1;2;3;2;3;1;1;1;2;3;1;4;4;2;3;2;3;4;4;2;4;4;3;2;4;1;4;4;3;3;4;3;3;3;1;3;2;1;1;3;3;27;25;39;29;-12;-4;3;75
3-44;2;91;5;10;11;5;14;4;2;4;1;1;1;4;5;;4,5;1;2;1;;1;1;1;12;3;4;1;2;2;4;1;3;2;3;1;4;1;4;3;2;1;4;2;3;1;4;2;3;2;3;1;4;3;1;2;4;1;3;2;4;3;1;2;4;4;2;3;1;1;4;3;2;2;2;1;2;4;2;2;4;3;3;3;3;4;1;1;2;2;5;4;2;5;4;4;3;4;4;4;1;1;1;5;4;1;2;5;4;2;1;4;3;1;1;2;2;3;1;1;1;1;3;1;4;4;1;1;1;3;1;1;1;4;4;4;3;4;1;4;2;2;1;3;1;1;3;1;2;4;1;1;4;2;24;37;23;36;1;1;1;44
3-45;2;92;5;10;13;4;14;3;2;4;0;0;1;4;3;;3,5;1;1;1;;1;1;1;12;1;4;3;2;1;4;2;3;4;3;2;1;1;2;3;4;3;4;2;1;2;4;3;1;1;3;2;4;4;2;1;3;1;3;2;4;1;2;3;4;1;4;3;2;2;4;1;3;2;1;1;4;5;1;2;5;5;2;5;4;5;1;2;3;4;4;5;2;1;3;5;4;5;5;5;2;1;1;5;5;1;1;5;5;1;1;5;3;1;2;1;2;4;1;1;1;1;3;1;4;4;1;1;1;4;1;4;1;4;4;4;1;4;1;4;4;4;2;3;1;1;4;1;4;3;1;2;3;4;22;39;27;32;-5;7;4;61
3-46;2;91;5;10;15;4;14;2;1;3;0;0;1;5;5;;5;1;1;1;;1;1;1;12;1;4;3;2;1;4;3;2;1;3;4;2;1;3;4;2;1;3;4;2;1;4;3;2;1;2;4;3;1;2;4;3;1;3;4;2;2;1;4;3;4;1;3;2;2;4;3;1;2;1;1;4;5;1;1;5;5;1;1;4;4;2;1;5;2;5;5;1;4;3;5;1;5;5;5;2;1;2;5;4;1;1;4;5;2;1;5;1;1;1;2;2;4;1;1;1;1;4;2;4;4;2;2;2;4;1;2;2;4;4;4;4;4;1;4;1;2;1;3;1;1;3;1;3;3;3;1;3;3;17;34;43;26;-26;8;4;66
3-47;1;90;5;10;13;4;14;3;1;4;1;1;1;3;3;;3;1;2;2;3;1;1;1;3;3;4;2;1;4;3;2;1;3;1;2;4;3;2;1;4;3;2;1;4;4;2;1;3;3;2;1;4;4;3;1;2;4;2;1;3;3;2;4;1;3;2;1;4;1;2;3;4;2;3;1;4;3;2;2;5;1;2;1;3;3;1;1;4;5;1;4;2;3;3;5;5;5;5;5;4;2;1;3;4;2;1;4;4;2;2;5;4;1;1;2;4;4;1;1;1;3;4;4;4;4;4;3;3;4;2;4;4;4;4;4;3;4;1;4;4;4;1;4;4;4;4;1;4;4;4;1;4;4;38;27;20;35;18;-8;2;43
3-48;1;91;5;10;11;4;14;3;2;4;1;1;1;4;4;;4;1;1;1;3;1;1;1;5;1;4;3;2;1;4;2;3;2;1;4;3;1;4;3;2;1;2;4;3;1;3;4;2;1;4;3;2;1;2;3;4;1;2;3;4;4;1;3;2;;;;;;;;;2;2;1;5;5;1;1;5;5;1;1;5;5;1;1;1;5;1;5;5;5;1;5;5;5;5;5;1;5;1;1;5;1;1;1;5;1;1;5;1;1;1;1;1;2;1;1;1;1;2;3;4;4;1;1;1;3;2;4;1;2;2;3;3;4;1;4;4;3;2;3;1;1;2;1;1;1;1;2;4;3;14;27;32;27;-18;0;4;60
3-49;2;91;5;10;21;4;14;3;2;3;1;1;1;5;5;;5;1;1;1;2;1;1;5;14;1;2;4;3;1;2;3;4;1;2;4;3;1;2;3;4;4;2;3;1;2;3;4;1;3;1;3;2;2;1;3;4;1;3;2;4;2;1;4;3;1;2;3;4;4;3;2;1;2;2;3;4;5;2;2;5;3;2;2;5;4;2;3;5;4;5;4;2;;5;4;4;4;4;4;2;2;2;4;3;1;;3;4;4;1;5;4;1;1;3;3;4;1;1;1;1;3;1;1;3;1;1;1;2;2;3;1;4;4;4;1;4;1;4;3;3;1;3;1;4;1;1;4;4;3;1;3;4;23;24;38;34;-15;-10;3;40
