Öğrenci No;Cinsiyet;Doğum Yılı;Okul Türü;Sınıf Düzeyi;Baba Mesleği;Baba Eğitim Düzeyi;Anne Mesleği;Anne Eğitim Düzeyi;Kardeş Sayısı;Kitap Sayısı;Evde Bilgisayar;Evde İnternet;Evde Çalışma Odası;Sınıf 9 Notu;Sınıf 10 Notu;Sınıf 11 Notu;Not Ortalaması aps;Ders Dinleme Önemi;Ders Çalışma Önemi;Ödev Yapma Önemi;Okul Kursu Önemi;Özel Ders Sıklığı;Drsn Fizik Sıklığı;Drsn ÖSS Sıklığı;En sevilen konu;lsi11;lsi12;lsi13;lsi14;lsi21;lsi22;lsi23;lsi24;lsi31;lsi32;lsi33;lsi34;lsi41;lsi42;lsi43;lsi44;lsi51;lsi52;lsi53;lsi54;lsi61;lsi62;lsi63;lsi64;lsi71;lsi72;lsi73;lsi74;lsi81;lsi82;lsi83;lsi84;lsi91;lsi92;lsi93;lsi94;lsi101;lsi102;lsi103;lsi104;lsi111;lsi112;lsi113;lsi114;lsi121;lsi122;lsi123;lsi124;pas1;pas2;pas3;pas4;pas5;pas6;pas7;pas8;pas9;pas10;pas11;pas12;pas13;pas14;pas15;pas16;pas17;pas18;pas19;pas20;pas21;pas22;pas23;pas24;pas25;pas26;pas27;pas28;pas29;pas30;pas31;pas32;pas33;pas34;pas35;pas36;pas37;pas38;pas39;pas40;a1;a2;a3;a4;a5;a6;b1;b2;b3;b4;b5;b6;b7;b8;b9;b10;b11;b12;b13;b14;b15;b16;b17;b18;b19;b20;b21;b22;b23;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;CE;RO;AC;AE;CE-AC;RO-AE;lst;pass
1-114;2;92;3;9;13;3;14;4;2;3;1;1;1;2;;;2;1;1;1;3;1;1;1;6;1;4;2;3;1;4;2;3;2;1;3;4;1;2;4;3;4;3;1;2;1;3;2;4;1;2;4;3;3;1;2;4;1;2;3;4;3;1;2;4;3;1;2;4;4;1;2;3;1;3;1;4;5;1;1;5;1;1;1;5;5;1;1;5;4;5;5;1;5;1;5;5;5;5;5;1;1;1;5;5;2;1;5;5;1;1;5;1;1;1;1;2;3;1;1;1;1;2;4;4;4;1;4;1;3;1;4;4;3;3;4;3;4;1;4;4;4;1;3;4;4;2;2;4;4;2;2;4;4;25;25;29;41;-4;-16;3;77
1-115;1;92;3;9;21;5;14;2;2;4;1;0;0;3;;;3;1;1;2;3;1;1;1;6;1;3;4;2;3;2;4;1;1;3;4;2;2;1;4;3;2;3;4;1;1;2;4;3;1;2;3;4;3;2;1;4;1;2;4;3;1;3;4;2;1;2;4;3;1;3;4;2;2;1;1;3;4;2;3;5;4;2;4;4;5;1;2;4;3;4;4;2;1;3;4;4;5;4;4;2;4;2;4;4;2;2;3;4;2;2;5;2;1;1;3;1;2;1;2;1;3;4;4;4;4;1;3;3;3;3;2;3;3;4;1;4;4;1;4;4;3;3;2;3;3;3;2;4;3;1;1;4;4;18;28;44;30;-26;-2;3;41
1-116;2;92;3;9;21;5;21;5;1;3;1;1;1;4;;;4;1;1;1;3;1;1;1;6;1;3;4;2;1;3;2;4;3;1;4;2;1;3;4;2;2;3;4;1;2;3;4;1;1;2;4;3;2;1;3;4;1;2;4;3;2;1;4;3;2;3;4;1;4;3;2;1;1;2;2;3;4;1;1;5;4;2;3;4;4;2;2;4;4;5;5;2;5;3;4;4;5;5;5;2;2;2;4;4;2;2;4;5;2;1;4;2;1;1;3;1;4;2;1;1;2;3;1;4;4;2;3;1;3;1;1;2;3;3;3;4;4;1;4;4;3;2;3;3;3;3;1;4;3;1;1;4;4;22;28;43;27;-21;1;4;55
1-117;1;92;3;9;12;2;14;2;3;4;1;0;1;2;;;2;1;2;1;3;1;1;1;17;1;4;2;3;1;4;2;3;2;4;3;1;1;4;2;3;3;1;2;4;4;3;2;1;2;3;4;4;4;3;1;2;2;4;1;3;1;3;4;2;3;2;4;4;1;2;3;4;3;2;3;4;4;2;2;5;5;3;2;3;2;1;1;4;3;4;4;2;2;3;4;4;4;4;4;2;2;2;3;3;4;4;4;3;2;4;2;4;1;1;1;1;4;2;1;1;3;2;4;2;4;1;1;1;5;5;1;2;4;3;3;2;4;1;4;4;4;3;3;2;2;2;2;4;4;2;2;3;4;25;37;30;34;-5;3;4;27
1-118;1;92;3;9;4;2;14;2;2;1;1;1;1;3;;;3;1;2;2;3;1;1;1;6;1;2;4;3;1;4;3;2;3;1;4;2;1;2;4;3;1;4;3;2;1;3;4;2;1;3;2;4;4;3;1;2;1;3;2;4;4;1;2;3;2;3;4;1;1;4;2;3;3;3;2;4;3;2;3;5;3;4;3;3;2;1;3;3;3;3;4;3;1;4;2;3;4;4;5;2;2;1;4;3;3;2;2;4;3;3;3;4;1;2;3;2;3;1;1;1;3;3;4;4;4;2;3;2;3;3;2;3;3;3;3;3;4;1;4;4;3;3;3;4;3;3;3;4;4;3;2;4;4;21;33;35;31;-14;2;4;17
1-119;1;92;3;9;17;2;14;2;2;1;1;0;0;3;;;3;1;1;3;2;1;1;1;8;1;3;4;2;1;4;3;2;1;3;4;2;1;4;3;2;3;2;4;1;3;4;2;1;1;3;2;4;2;1;3;4;1;4;2;3;3;2;4;1;2;1;3;4;2;3;4;1;3;4;1;3;3;1;2;3;5;2;3;4;3;1;2;3;3;3;4;2;4;4;4;2;4;4;4;2;4;1;5;3;3;2;3;3;3;2;4;3;1;1;3;2;4;1;1;2;1;3;3;4;4;1;3;2;3;2;1;2;3;4;3;1;4;1;4;4;4;3;2;3;3;3;2;4;3;3;2;4;3;21;34;38;27;-17;7;4;29
1-120;2;92;3;9;24;5;9;3;;2;0;0;1;3;;;3;1;1;1;3;1;1;1;6;2;4;3;1;2;4;1;3;2;1;4;3;1;4;3;2;2;3;1;4;4;2;3;1;2;4;1;3;3;1;2;4;1;3;2;4;3;1;2;4;3;1;2;4;2;4;1;3;4;5;4;3;3;4;5;4;1;3;5;1;3;4;5;3;1;2;2;4;4;5;2;1;2;2;5;3;2;4;2;1;3;4;3;4;5;4;3;5;1;1;3;2;3;1;1;1;1;1;1;4;4;1;3;1;3;1;1;1;3;4;3;3;4;1;3;4;3;1;3;4;4;3;1;4;3;1;2;4;4;27;32;25;36;2;-4;2;-26
1-121;1;92;3;9;13;2;14;2;0;1;0;0;1;4;;;4;1;1;1;2;1;1;1;14;2;4;3;1;1;4;3;2;1;2;3;4;1;3;2;4;4;2;3;1;1;4;3;2;1;2;4;3;1;4;3;2;1;2;3;4;2;1;3;4;4;2;1;3;2;1;3;4;1;3;2;4;4;1;1;4;4;2;4;4;5;2;2;5;3;5;5;1;4;1;3;4;5;5;1;2;2;2;5;5;2;2;3;5;1;2;5;1;2;1;3;1;3;2;2;2;2;1;1;4;4;1;3;2;2;2;2;1;4;2;2;4;4;2;4;4;3;3;3;3;4;1;2;3;1;1;2;3;4;21;31;34;34;-13;-3;3;54
1-122;2;92;3;9;20;2;14;2;2;3;1;1;1;2;;;2;1;2;2;2;1;1;1;6;2;4;3;1;1;3;2;4;3;4;2;1;1;3;2;4;3;2;1;4;4;1;3;2;3;2;1;4;3;1;2;4;1;2;3;4;1;4;3;2;2;3;1;4;3;4;2;1;4;4;1;4;3;1;3;4;3;3;3;2;2;1;3;2;4;4;4;1;4;3;4;2;4;4;4;2;2;2;4;4;1;1;2;3;3;1;4;4;1;1;1;1;2;1;1;1;1;4;4;4;4;1;1;2;3;1;2;1;3;3;3;3;4;1;4;1;1;4;1;1;1;4;3;4;1;1;1;4;4;27;33;25;35;2;-2;2;28
1-3;1;91;3;9;4;3;14;2;1;4;0;0;1;2;;;2;1;1;2;3;3;3;3;0;2;4;3;1;2;4;3;2;1;3;4;2;1;3;4;2;3;4;2;1;3;4;2;1;1;3;4;2;1;2;4;3;1;2;4;3;2;1;4;3;3;2;1;4;2;1;3;4;4;2;3;5;5;1;1;5;3;2;3;3;4;1;2;4;3;4;5;3;4;3;5;3;5;5;5;3;1;1;5;5;3;1;5;5;2;3;5;1;2;3;1;3;4;1;4;1;1;4;4;4;4;4;1;1;4;1;1;1;3;3;3;3;4;1;4;4;4;3;1;3;3;4;2;4;4;1;1;4;4;22;33;38;28;-16;5;4;53
